Configure,Int Power,Switch Power,Leak Power,Total Power
PRTEDConfig295-benchmarks-mt-vvadd.riscv,7.43e-02,1.06e-02,3.94e-03,8.88e-02
PRTEDConfig295-benchmarks-whetstone.riscv,7.47e-02,9.45e-03,3.96e-03,8.81e-02
PRTEDConfig296-benchmarks-mt-vvadd.riscv,7.04e-02,1.06e-02,3.51e-03,8.45e-02
PRTEDConfig296-benchmarks-whetstone.riscv,7.12e-02,9.47e-03,3.53e-03,8.42e-02
PRTEDConfig297-benchmarks-mt-vvadd.riscv,7.94e-02,1.03e-02,4.89e-03,9.46e-02
PRTEDConfig297-benchmarks-whetstone.riscv,7.93e-02,8.25e-03,4.92e-03,9.25e-02
PRTEDConfig298-benchmarks-mt-vvadd.riscv,6.17e-02,8.36e-03,3.66e-03,7.37e-02
PRTEDConfig298-benchmarks-whetstone.riscv,6.21e-02,6.96e-03,3.69e-03,7.27e-02
PRTEDConfig299-benchmarks-mt-vvadd.riscv,5.30e-02,7.85e-03,3.16e-03,6.41e-02
PRTEDConfig299-benchmarks-whetstone.riscv,5.38e-02,5.99e-03,3.18e-03,6.29e-02
PRTEDConfig300-benchmarks-mt-vvadd.riscv,5.27e-02,7.35e-03,2.90e-03,6.30e-02
PRTEDConfig300-benchmarks-whetstone.riscv,5.24e-02,5.84e-03,2.92e-03,6.11e-02
