Configure,Int Power,Switch Power,Leak Power,Total Power
LargeBoomSEConfig-benchmarks-binarysearch.riscv,1.82e-02,2.71e-03,3.57e-03,2.45e-02
LargeBoomSEConfig-benchmarks-cover.riscv,1.68e-02,1.67e-03,3.52e-03,2.19e-02
LargeBoomSEConfig-benchmarks-hello_world.riscv,2.13e-02,4.01e-03,3.60e-03,2.89e-02
LargeBoomSEConfig-benchmarks-insertsort.riscv,1.69e-02,1.82e-03,3.52e-03,2.23e-02
LargeBoomSEConfig-benchmarks-qurt.riscv,1.85e-02,2.95e-03,3.62e-03,2.51e-02
LargeBoomSEConfig-benchmarks-duff.riscv,1.70e-02,1.87e-03,3.53e-03,2.24e-02
LargeBoomSEConfig-benchmarks-basicmath_small.riscv,2.13e-02,4.62e-03,3.62e-03,2.95e-02
LargeBoomSEConfig-benchmarks-fac.riscv,1.68e-02,1.73e-03,3.52e-03,2.20e-02
LargeBoomSEConfig-benchmarks-bitcount.riscv,1.90e-02,3.19e-03,3.56e-03,2.57e-02
LargeBoomSEConfig-benchmarks-rv64ud-p-fadd_200,1.77e-02,2.39e-03,3.56e-03,2.36e-02
LargeBoomSEConfig-benchmarks-jfdcint.riscv,1.71e-02,1.95e-03,3.53e-03,2.26e-02
LargeBoomSEConfig-benchmarks-countnegative.riscv,1.78e-02,2.49e-03,3.56e-03,2.39e-02
LargeBoomSEConfig-benchmarks-ns.riscv,1.63e-02,1.64e-03,3.52e-03,2.14e-02
LargeBoomSEConfig-benchmarks-huff_dec.riscv,2.41e-02,6.13e-03,3.59e-03,3.38e-02
LargeBoomSEConfig-benchmarks-fir2dim.riscv,1.76e-02,2.27e-03,3.54e-03,2.34e-02
LargeBoomSEConfig-benchmarks-rv64ua-p-amoadd_d_200,1.80e-02,2.54e-03,3.55e-03,2.41e-02
LargeBoomSEConfig-benchmarks-st.riscv,1.96e-02,3.38e-03,3.60e-03,2.66e-02
LargeBoomSEConfig-benchmarks-fmref.riscv,2.25e-02,5.08e-03,3.65e-03,3.12e-02
LargeBoomSEConfig-benchmarks-iir.riscv,1.69e-02,1.84e-03,3.53e-03,2.23e-02
LargeBoomSEConfig-benchmarks-tarai.riscv,1.71e-02,1.93e-03,3.52e-03,2.25e-02
