fetchWidth,decodeWidth,numFetchBufferEntries,numRobEntries,numRasEntries,numIntPhysRegisters,numFpPhysRegisters,numLdqEntries,numStqEntries,maxBrCount,mem_issueWidth,int_issueWidth,fp_issueWidth,DCacheParams_nWays,DCacheParams_nMSHRs,DCacheParams_nTLBEntries,ICacheParams_nWays,ICacheParams_nTLBEntries,ICacheParams_fetchBytes,latency,power
4,3,24,96,32,112,112,24,24,12,1,2,1,8,2,32,2,16,2,41311.0,0.069
8,4,16,32,16,80,80,8,8,20,1,1,1,2,2,16,4,8,4,41601.0,0.0858
4,4,40,32,32,80,80,8,8,16,2,4,2,4,8,32,8,32,2,41341.0,0.0788
4,4,16,96,24,96,96,8,8,8,2,2,2,4,4,32,4,16,2,41263.0,0.0682
8,2,40,32,32,64,64,24,24,12,2,1,2,8,8,16,8,32,4,41315.0,0.082
8,1,40,32,32,112,112,24,24,8,2,5,2,8,2,32,4,8,4,41462.0,0.0819
4,1,40,32,24,64,64,24,24,20,2,5,2,8,2,8,2,16,2,41476.0,0.0643
4,1,8,32,16,64,64,32,32,20,2,5,2,4,2,8,8,32,2,41486.0,0.0645
8,2,40,32,32,48,48,32,32,16,2,2,2,2,2,32,8,32,4,41248.0,0.0822
8,2,32,130,16,96,96,16,16,12,1,2,1,2,4,32,2,8,4,41409.0,0.0781
